# 双一流高校简称与英文缩写映射表
# 数据来源：教育部双一流建设高校名单（2022 年第二轮，147 所）
# 格式：全称|简称|英文缩写
# 简称为民间通用简称，英文缩写为国际通用校名缩写（如有）
# 无简称或无英文缩写时留空

# 北京（28 所）
北京大学|北大|PKU
西南交通大学|西南交大|SWJTU
电子科技大学|电子科大|UESTC
西南石油大学|西南石大|SWPU
成都理工大学|成理|CDUT
四川农业大学|川农|SICAU
成都中医药大学|成中医|CDUTCM
西南财经大学|西南财大|SWUFE

# 贵州（1 所）
贵州大学|贵大|GZU

# 云南（1 所）
云南大学|云大|YNU

# 西藏（1 所）
西藏大学|藏大|UT

# 陕西（8 所）
西北大学|西大|NWU
西安交通大学|西安交大|XJTU
西北工业大学|西工大|NPU
西安电子科技大学|西电|XDU
长安大学|长大|CHD
西北农林科技大学|西农|NWAFU
陕西师范大学|陕师大|SNNU
空军军医大学|空军医大|AFMU

# 甘肃（1 所）
兰州大学|兰大|LZU

# 青海（0 所）
# 宁夏（0 所）
# 新疆（0 所）

# 港澳台（部分）
香港大学|港大|HKU
香港中文大学|港中文|CUHK
香港科技大学|港科大|HKUST
香港理工大学|港理工|PolyU
香港城市大学|城大|CityU
香港浸会大学|浸大|HKBU
岭南大学|岭南|LU
香港教育大学|教大|EdUHK
澳门大学|澳大|UM
澳门科技大学|澳科大|MUST
台湾大学|台大|NTU
台湾师范大学|台师大|NTNU
台湾科技大学|台科大|NTUST
成功大学|成大|NCKU
清华大学|清华|NTHU
交通大学|交大|NCTU
政治大学|政大|NCCU
中央大学|中大|NCU
中兴大学|中兴|NCHU
中山大学|中大|NSYSU
阳明交通大学|阳明交大|NYCU
台湾大学|台大|NTU
